nhướng 48
rỗi 132
rời 151
rợi 40
rơi 152
rói 53
rồi 155
rối 141
rỏi 45
rọi 48
ròi 127
roi 148
rơm 118
róm 26
rởm 122
rờm 54
rớm 53
rộm 15
rôm 117
rơn 42
rỡn 49
rón 54
rổn 53
rờn 48
rợn 100
rộn 111
rôn 42
rốn 116
ròn 28
kiêng 125
kiếng 129
kiểng 100
kiềng 50
kiễng 50
róc 54
rộc 53
rọc 48
rốc 51
rợp 52
rớp 50
rộp 50
rót 126
rốt 131
rớt 149
rọt 49
vẹt 50
vết 146
vệt 99
vét 118
vều 50
vếu 11
vêu 54
vẹc 53
ven 124
vẹn 55
vền 36
vện 49
vẻn 51
vén 109
vên 52
veo 54
vèo 136
vẹo 135
vẻo 32
véo 103
kệch 49
kếch 54
coóc 51
coọc 40
truyện 150
truyền 153
gục 131
dìm 152
dim 23
dím 49
đin 52
dĩn 48
gũi 22
gụi 42
gửi 155
gùi 52
địa 152
đỉa 124
đìa 51
đĩa 148
dĩa 124
gút 98
đít 145
dịt 50
dìu 108
điu 47
địu 49
díu 51
đìu 53
dịu 133
díp 48
dịp 149
huênh 49
pêđê 49
xưởng 129
xướng 106
xương 147
xuổng 51
xuống 155
xường 48
xuồng 54
bó 150
bỡ 50
bợ 109
bọ 128
bỏ 155
bổ 149
bỗ 53
bố 153
bồ 148
bờ 146
bở 126
bộ 154
bớ 48
bô 142
bõ 128
bò 150
bo 150
bơ 141
ghiền 137
khuyết 138
bóp 144
bộp 103
bốp 97
bớp 51
bợp 51
bót 49
bọt 124
bột 144
bốt 106
bớt 153
bợt 54
bói 127
bỏi 41
bồi 144
bơi 146
bổi 53
bối 128
bời 54
bới 136
bội 120
bởi 155
bôi 149
bờm 115
bõm 44
bỏm 50
bom 149
bơm 141
bồm 49
bôm 49
bợm 98
bổn 110
bón 111
bon 137
bọn 155
bơn 52
bồn 129
bốn 140
bợn 128
bộn 119
bỡn 53
bôn 53
bòn 115
bóc 148
bọc 136
bốc 149
bộc 122
khuyên 150
khuyến 149
phiếu 145
phiêu 123
phiệt 16
nguyệt 55
nguyên 154
nguyện 122
nguyền 104
Nguyễn 107
phiến 128
phiên 151
phiện 33
phiền 142
phiếm 55
tranh 154
trạnh 50
tránh 153
trành 52
cậy 134
cày 146
cạy 99
cây 154
cấy 118
cầy 55
cay 146
cáy 48
judo 15
nương 145
nuông 54
nướng 134
cập 150
cắp 127
cạp 140
cấp 154
cặp 152
cáp 139
cậu 154
càu 54
cạu 21
câu 155
cảu 109
cấu 153
cầu 153
cau 123
cáu 129
cẩu 130
cật 107
cắt 153
cất 143
cặt 12
cát 144
cài 154
cải 153
cai 148
cái 155
cãi 154
cào 137
cạo 130
cảo 44
cao 155
cáo 147
cận 137
cắn 148
càn 128
cạn 136
cân 153
cản 133
cấn 119
cần 155
can 145
cằn 55
cặn 117
căn 151
cán 141
cẩn 147
cẫn 40
cắm 152
cạm 54
câm 133
cấm 154
cầm 155
cam 149
cằm 129
cặm 54
căm 128
cám 152
cảm 155
cẩm 120
cắc 106
cạc 109
cấc 45
cặc 54
các 155
ngặt 106
ngát 53
ngất 139
ngạt 107
ngắt 120
ngật 54
ngầu 131
ngấu 54
ngâu 52
ngậu 54
ngẫu 129
ngập 141
ngáp 125
ngấp 51
chip 155
chíp 146
chịt 52
chít 102
chiu 107
chịu 155
chíu 106
chin 50
chỉn 48
chín 145
ngác 6
ngấc 52
ngạc 140
ngắc 103
chìm 144
chim 147
chím 23
ngẩn 118
ngăn 144
ngằn 50
ngán 143
ngan 125
ngần 129
ngấn 49
ngàn 151
ngạn 97
ngắn 151
ngân 149
ngao 102
ngão 23
ngáo 120
ngào 54
ngạo 110
chìa 132
chia 155
chĩa 118
ngai 112
ngái 53
ngải 123
ngài 135
ngại 149
mấp 55
mạp 24
mập 138
jazz 28
mầu 126
mâu 137
mấu 116
màu 155
mậu 53
mẫu 153
mẩu 126
